scrape_time,keyword,product_name,product_url,seller,location,price_text,price,currency
2025-09-12T18:23:11.538879,shoes,Uma Maheshwari Traders,https://www.indiamart.com/uma-maheshwari-traders-warangal/?pos=1&kwd=shoes&tags=rk:T||dt:5|db:01|prc:1|dtp:p||sv:VGP|rsf:gd|ri:VGP_T_50_NP-|-res:RC3|ktp:N0|mtp:SP|wc:1|lcf:3|cq:hanamkonda|qr_nm:localhgmct-gl-gd|cs:18267|com-cf:nl|ptrs:na|mc:569|cat:145|qry_typ:P|lang:en|tyr:-|qrd:250909|mrd:250807|prdt:250909|msf:ls|pfen:1|gli:G0I1|gc:Hanamkonda|ic:Warangal|scw:1|v=4,,,,,
2025-09-12T18:23:11.538879,shoes,Afreen Footwear,https://www.indiamart.com/afreen-footwear-thorrur/?pos=2&kwd=shoes&tags=rk:T||dt:48|db:01||dtp:p||sv:VGP|rsf:gd|ri:VGP_T_50_NP-|-res:RC3|ktp:N0|mtp:SP|wc:1|lcf:3|cq:hanamkonda|qr_nm:localhgmct-gl-gd|cs:18267|com-cf:nl|ptrs:na|mc:569|cat:145|qry_typ:P|lang:en|tyr:-|qrd:250909|mrd:250807|prdt:250909|msf:ls|pfen:1|gli:G0I1|gc:Hanamkonda|ic:Warangal|scw:1|v=4,,,,,
2025-09-12T18:23:11.538879,shoes,Thirumala Footwear,https://www.indiamart.com/thirumala-footwear/?pos=3&kwd=shoes&tags=rk:T||dt:97|db:02||dtp:p||sv:VGP|rsf:gd|ri:VGP_T_100_NP-|-res:RC3|ktp:N0|mtp:SP|wc:1|lcf:3|cq:hanamkonda|qr_nm:localhgmct-gl-gd|cs:18267|com-cf:nl|ptrs:na|mc:569|cat:145|qry_typ:P|lang:en|tyr:-|qrd:250909|mrd:250807|prdt:250909|msf:ls|pfen:1|gli:G0I1|gc:Hanamkonda|ic:Warangal|scw:1|v=4,,,,,
2025-09-12T18:23:11.538879,shoes,Nithin Hair Enterprises,https://www.indiamart.com/nithin-hair-enterprises/?pos=4&kwd=shoes&tags=rk:T||dt:66|db:02|prc:1|dtp:p||sv:VGP|rsf:gd|ri:VGP_T_100_NP-|-res:RC3|ktp:N0|mtp:SP|wc:1|lcf:3|cq:hanamkonda|qr_nm:localhgmct-gl-gd|cs:18267|com-cf:nl|ptrs:na|mc:569|cat:145|qry_typ:P|lang:en|tyr:-|qrd:250909|mrd:250807|prdt:250909|msf:ls|pfen:1|gli:G0I1|gc:Hanamkonda|ic:Warangal|scw:1|v=4,,,,,
2025-09-12T18:23:11.538879,shoes,Men SLIP ON CANVAS SHOES,https://www.indiamart.com/proddetail/slip-on-canvas-shoes-2853928639173.html?pos=5&kwd=shoes&tags=rk:A|plc:1|dt:1032|db:21|prc:1|dtp:p|pfs:1|sv:T|rsf:gl|ri:T_A_G250_P-|-res:RC3|ktp:N0|mtp:SP|wc:1|lcf:3|cq:hanamkonda|qr_nm:localhgmct-gl-gd|cs:18267|com-cf:nl|ptrs:na|mc:569|cat:145|qry_typ:P|lang:en|tyr:-|qrd:250909|mrd:250807|prdt:250909|msf:ls|pfen:1|gli:G0I1|gc:Hanamkonda|ic:Warangal|scw:1|v=4|r=3,,,,,
2025-09-12T18:23:11.538879,shoes,R.S. International,https://www.kaiboshoes.com/?pos=5&kwd=shoes&tags=rk:A|plc:1|dt:1032|db:21|prc:1|dtp:p|pfs:1|sv:T|rsf:gl|ri:T_A_G250_P-|-res:RC3|ktp:N0|mtp:SP|wc:1|lcf:3|cq:hanamkonda|qr_nm:localhgmct-gl-gd|cs:18267|com-cf:nl|ptrs:na|mc:569|cat:145|qry_typ:P|lang:en|tyr:-|qrd:250909|mrd:250807|prdt:250909|msf:ls|pfen:1|gli:G0I1|gc:Hanamkonda|ic:Warangal|scw:1|v=4,,,,,
2025-09-12T18:23:11.538879,shoes,★★★★★★★★★★3.9(427),https://www.kaiboshoes.com/testimonial.html#reviewsratings,,,,,
2025-09-12T18:23:11.538879,shoes,"Blue Laces Sneaker Shoes, Shoe Type: Designer Shoe",https://www.indiamart.com/proddetail/laces-sneaker-shoes-21366729273.html?pos=6&kwd=shoes&tags=rk:TS|plc:1|dt:1032|db:21|prc:1|dtp:p|pfs:1|sv:T|rsf:gl|ri:T_TS_G250_P-|-res:RC3|ktp:N0|mtp:SP|wc:1|lcf:3|cq:hanamkonda|qr_nm:localhgmct-gl-gd|cs:18267|com-cf:nl|ptrs:na|mc:569|cat:145|qry_typ:P|lang:en|tyr:-|qrd:250909|mrd:250807|prdt:250909|msf:ls|pfen:1|gli:G0I1|gc:Hanamkonda|ic:Warangal|scw:1|v=4|r=4,,,,,
2025-09-12T18:23:11.538879,shoes,Hardev Group Of Shoes,https://www.indiamart.com/hardevgroupofshoes/?pos=6&kwd=shoes&tags=rk:TS|plc:1|dt:1032|db:21|prc:1|dtp:p|pfs:1|sv:T|rsf:gl|ri:T_TS_G250_P-|-res:RC3|ktp:N0|mtp:SP|wc:1|lcf:3|cq:hanamkonda|qr_nm:localhgmct-gl-gd|cs:18267|com-cf:nl|ptrs:na|mc:569|cat:145|qry_typ:P|lang:en|tyr:-|qrd:250909|mrd:250807|prdt:250909|msf:ls|pfen:1|gli:G0I1|gc:Hanamkonda|ic:Warangal|scw:1|v=4,,,,,
2025-09-12T18:23:11.538879,shoes,★★★★★★★★★★4.1(156),https://www.indiamart.com/hardevgroupofshoes/testimonial.html#reviewsratings,,,,,
