scrape_time,keyword,product_name,product_url,seller,location,price_text
2025-09-13T16:48:47.542877,furniture,Perspective 116,https://www.indiamart.com/perspective-116/?pos=1&kwd=furniture&tags=rk:T||dt:48|db:01|prc:1|dtp:p||sv:VGP|rsf:gd|ri:VGP_T_50_NP-|-res:RC3|ktp:N0|mtp:G|wc:1|lcf:3|cq:hanamkonda|qr_nm:gl-gd|cs:17823|com-cf:nl|ptrs:na|mc:105864|cat:103|qry_typ:P|lang:en|tyr:-|qrd:250913|mrd:250910|prdt:250913|msf:ls|pfen:1|gli:G0I0|gc:Hanamkonda|ic:Hanamkonda|scw:1|v=4,Perspective 116,Thorrur,
2025-09-13T16:48:47.542877,furniture,Sadguru Furnitures & Wooden Works,https://www.indiamart.com/sadguru-furnitures-wooden-works/?pos=2&kwd=furniture&tags=rk:C||dt:5|db:01||dtp:p||sv:VGP|rsf:gd|ri:VGP_C_50_NP-|-res:RC3|ktp:N0|mtp:G|wc:1|lcf:3|cq:hanamkonda|qr_nm:gl-gd|cs:17823|com-cf:nl|ptrs:na|mc:105864|cat:103|qry_typ:P|lang:en|tyr:-|qrd:250913|mrd:250910|prdt:250913|msf:ls|pfen:1|gli:G0I0|gc:Hanamkonda|ic:Hanamkonda|scw:1|v=4,Sadguru Furnitures & Wooden Works,Warangal,
2025-09-13T16:48:47.542877,furniture,Ramarajyam Timber Depot,https://www.indiamart.com/ramarajyam-timber-depot/?pos=3&kwd=furniture&tags=rk:C||dt:5|db:01||dtp:p||sv:VGP|rsf:gd|ri:VGP_C_50_NP-|-res:RC3|ktp:N0|mtp:G|wc:1|lcf:3|cq:hanamkonda|qr_nm:gl-gd|cs:17823|com-cf:nl|ptrs:na|mc:105864|cat:103|qry_typ:P|lang:en|tyr:-|qrd:250913|mrd:250910|prdt:250913|msf:ls|pfen:1|gli:G0I0|gc:Hanamkonda|ic:Hanamkonda|scw:1|v=4,Ramarajyam Timber Depot,Warangal,
2025-09-13T16:48:47.551102,furniture,Suchitra Wood Furniture Works And Design Cuttings,https://www.indiamart.com/suchitra-wood-furniture-works-and-design-cuttings/?pos=4&kwd=furniture&tags=rk:C||dt:5|db:01||dtp:p||sv:VGP|rsf:gd|ri:VGP_C_50_NP-|-res:RC3|ktp:N0|mtp:G|wc:1|lcf:3|cq:hanamkonda|qr_nm:gl-gd|cs:17823|com-cf:nl|ptrs:na|mc:105864|cat:103|qry_typ:P|lang:en|tyr:-|qrd:250913|mrd:250910|prdt:250913|msf:ls|pfen:1|gli:G0I0|gc:Hanamkonda|ic:Hanamkonda|scw:1|v=4,Suchitra Wood Furniture Works And Design Cuttings,Warangal,
2025-09-13T16:48:47.553113,furniture,Luxury Enterprises,https://www.indiamart.com/luxury-entp/?pos=5&kwd=furniture&tags=rk:T||dt:5|db:01||dtp:p||sv:VGP|rsf:gd|ri:VGP_T_50_NP-|-res:RC3|ktp:N0|mtp:G|wc:1|lcf:3|cq:hanamkonda|qr_nm:gl-gd|cs:17823|com-cf:nl|ptrs:na|mc:105864|cat:103|qry_typ:P|lang:en|tyr:-|qrd:250913|mrd:250910|prdt:250913|msf:ls|pfen:1|gli:G0I0|gc:Hanamkonda|ic:Hanamkonda|scw:1|v=4,Luxury Enterprises,Warangal,
2025-09-13T16:48:47.553113,furniture,furniture arch unit,https://www.indiamart.com/proddetail/furniture-arch-unit-2855526586630.html?pos=6&kwd=furniture&tags=rk:T||dt:66|db:02|prc:1|dtp:p|pfs:1|sv:M|rsf:gd|ri:M_T_100_NP-|-res:RC3|ktp:N0|mtp:G|wc:1|lcf:3|cq:hanamkonda|qr_nm:gl-gd|cs:17823|com-cf:nl|ptrs:na|mc:105864|cat:103|qry_typ:P|lang:en|tyr:-|qrd:250913|mrd:250910|prdt:250913|msf:ls|pfen:1|gli:G0I0|gc:Hanamkonda|ic:Hanamkonda|scw:1|v=4|r=5,,Contact Supplier,₹ 350 /sq ft
2025-09-13T16:48:47.556916,furniture,"Sri Murgan Pvc, Upvc & Cupboards",https://www.indiamart.com/srimurganpvcupvc-cupboards/?pos=6&kwd=furniture&tags=rk:T||dt:66|db:02|prc:1|dtp:p|pfs:1|sv:M|rsf:gd|ri:M_T_100_NP-|-res:RC3|ktp:N0|mtp:G|wc:1|lcf:3|cq:hanamkonda|qr_nm:gl-gd|cs:17823|com-cf:nl|ptrs:na|mc:105864|cat:103|qry_typ:P|lang:en|tyr:-|qrd:250913|mrd:250910|prdt:250913|msf:ls|pfen:1|gli:G0I0|gc:Hanamkonda|ic:Hanamkonda|scw:1|v=4,"Sri Murgan Pvc, Upvc & Cupboards",Karimnagar,
2025-09-13T16:48:47.556916,furniture,"OWN Wooden Furniture, For Home",https://www.indiamart.com/proddetail/furniture-27028858255.html?pos=7&kwd=furniture&tags=rk:T||dt:65|db:02|prc:1|dtp:p||sv:VGP|rsf:gd|ri:VGP_T_100_NP-|-res:RC3|ktp:N0|mtp:G|wc:1|lcf:3|cq:hanamkonda|qr_nm:gl-gd|cs:17823|com-cf:nl|ptrs:na|mc:105864|cat:103|qry_typ:P|lang:en|tyr:-|qrd:250913|mrd:250910|prdt:250913|msf:ls|pfen:1|gli:G0I0|gc:Hanamkonda|ic:Hanamkonda|scw:1|v=4,,Wooden Furniture,"₹ 18,000 /Piece"
2025-09-13T16:48:47.558862,furniture,Kakathiya Timber Depot & Furniture Workshop,https://www.indiamart.com/kakathiya-timber-depot-furnitures-workshop/?pos=7&kwd=furniture&tags=rk:T||dt:65|db:02|prc:1|dtp:p||sv:VGP|rsf:gd|ri:VGP_T_100_NP-|-res:RC3|ktp:N0|mtp:G|wc:1|lcf:3|cq:hanamkonda|qr_nm:gl-gd|cs:17823|com-cf:nl|ptrs:na|mc:105864|cat:103|qry_typ:P|lang:en|tyr:-|qrd:250913|mrd:250910|prdt:250913|msf:ls|pfen:1|gli:G0I0|gc:Hanamkonda|ic:Hanamkonda|scw:1|v=4,Kakathiya Timber Depot & Furniture Workshop,Mahabubabad,
2025-09-13T16:48:47.558862,furniture,Montessori Colourful Furniture,https://www.indiamart.com/proddetail/montessori-colourful-furniture-26332609030.html?pos=8&kwd=furniture&tags=rk:A|plc:1|dt:1215|db:25|prc:1|dtp:p|pfs:1|sv:T|rsf:gl|ri:T_A_G250_P-|-res:RC3|ktp:N0|mtp:G|wc:1|lcf:3|cq:hanamkonda|qr_nm:gl-gd|cs:17823|com-cf:nl|ptrs:na|mc:105864|cat:103|qry_typ:P|lang:en|tyr:-|qrd:250913|mrd:250910|prdt:250913|msf:ls|pfen:1|gli:G0I0|gc:Hanamkonda|ic:Hanamkonda|scw:1|v=4|r=4,,Montessori Colourful,"₹ 7,500 /Piece"
